category,agent_class,edge_count,total_edges,share
AI_USE,AI,212,444,0.4774774774774775
AI_USE,OTHER,175,444,0.39414414414414417
AI_USE,HUMAN,57,444,0.12837837837837837
AUTHORSHIP,OTHER,206,323,0.6377708978328174
AUTHORSHIP,AI,81,323,0.25077399380804954
AUTHORSHIP,HUMAN,36,323,0.11145510835913312
CONTROL,OTHER,39,76,0.5131578947368421
CONTROL,AI,34,76,0.4473684210526316
CONTROL,HUMAN,3,76,0.039473684210526314
IDEATION,OTHER,99,237,0.4177215189873418
IDEATION,AI,90,237,0.379746835443038
IDEATION,HUMAN,48,237,0.20253164556962025
