section,category,token_count,section_total,share_in_section
basic_job_description,AI_USE,998,3423,0.29155711364300324
basic_job_description,AUTHORSHIP,1779,3423,0.5197195442594216
basic_job_description,CONTROL,105,3423,0.03067484662576687
basic_job_description,IDEATION,541,3423,0.15804849547180835
changed_aspects,AI_USE,1419,3535,0.40141442715700143
changed_aspects,AUTHORSHIP,1175,3535,0.3323903818953324
changed_aspects,CONTROL,112,3535,0.031683168316831684
changed_aspects,IDEATION,829,3535,0.2345120226308345
concerns,AI_USE,2010,4814,0.41753219775654343
concerns,AUTHORSHIP,1966,4814,0.40839218944744493
concerns,CONTROL,144,4814,0.029912754466140425
concerns,IDEATION,694,4814,0.14416285832987122
dynamic,AI_USE,1645,4010,0.4102244389027431
dynamic,AUTHORSHIP,1214,4010,0.3027431421446384
dynamic,CONTROL,297,4010,0.07406483790523691
dynamic,IDEATION,854,4010,0.21296758104738153
extra_comments,AI_USE,398,942,0.42250530785562634
extra_comments,AUTHORSHIP,320,942,0.33970276008492567
extra_comments,CONTROL,23,942,0.024416135881104035
extra_comments,IDEATION,201,942,0.21337579617834396
future,AI_USE,1791,3910,0.4580562659846547
future,AUTHORSHIP,1342,3910,0.34322250639386187
future,CONTROL,89,3910,0.02276214833759591
future,IDEATION,688,3910,0.17595907928388746
intro,AI_USE,136,301,0.45182724252491696
intro,AUTHORSHIP,48,301,0.15946843853820597
intro,CONTROL,76,301,0.25249169435215946
intro,IDEATION,41,301,0.1362126245847176
project_example,AI_USE,2232,5552,0.4020172910662824
project_example,AUTHORSHIP,1954,5552,0.3519452449567723
project_example,CONTROL,191,5552,0.03440201729106628
project_example,IDEATION,1175,5552,0.21163544668587897
walkthrough,AI_USE,2568,5821,0.441161312489263
walkthrough,AUTHORSHIP,1877,5821,0.3224531867376739
walkthrough,CONTROL,143,5821,0.024566225734409895
walkthrough,IDEATION,1233,5821,0.21181927503865317
